order_id,customer_id,order_date,ship_date,delivery_date,ship_mode,origin_warehouse,dest_city,dest_state,product_category,product_id,quantity,unit_price,order_value,shipping_cost,delivery_time_days,delivery_status,returned,cost_of_goods,labor_time_minutes,order_priority,promo_code,customer_segment,carrier,profit,profit_margin,order_week,order_month,order_year,fulfillment_lag_days,delivery_lag,on_time
O000013,C1355,2024-08-13,2024-08-13,2024-08-20,Two-Day,WH_East,City_115,NY,Beauty,P6838,1,41.44,41.44,14.93,7,Delivered,No,17.73,11,Medium,WELCOME5,Consumer,CarrierC,7.46,0.18,33,Aug,2024,0,7,0
O000014,C2624,2025-07-02,2025-07-04,2025-07-14,Ground,WH_East,City_304,FL,Toys,P7796,2,49.52,99.04,7,10,Delivered,No,38.02,28,Medium,NA,Enterprise,CarrierC,50.66,0.512,27,Jul,2025,2,8,0
O000015,C1164,2025-02-23,2025-02-24,2025-03-01,Ground,WH_South,City_85,PA,Apparel,P4209,2,50.22,100.44,6.73,5,Lost,No,51.08,28,Low,SUMMER10,Enterprise,CarrierC,39.27,0.391,8,Feb,2025,1,4,1
O000016,C1621,2024-10-04,2024-10-06,2024-10-11,Ground,WH_East,City_355,FL,Apparel,P2981,2,56.37,112.74,5.38,5,Delivered,No,47.42,26,Medium,WELCOME5,Consumer,CarrierB,56.82,0.504,40,Oct,2024,2,3,1
O000017,C2555,2025-07-16,2025-07-16,2025-07-18,Overnight,WH_West,City_137,MI,Beauty,P3594,5,44.49,222.45,58.7,2,Delivered,No,108.7,55,Medium,WELCOME5,Enterprise,CarrierC,48.45,0.218,29,Jul,2025,0,2,1
O000018,C1409,2025-05-19,2025-05-20,2025-05-25,Ground,WH_South,City_357,TX,Electronics,P5498,3,76.92,230.76,5.22,5,Delivered,No,115.38,48,Low,NA,Consumer,CarrierB,104.4,0.452,21,May,2025,1,4,1
O000019,C2905,2025-03-11,2025-03-13,2025-03-19,Overnight,WH_South,City_360,NY,Apparel,P9223,4,30.96,123.84,45.56,6,Delivered,No,59.57,60,High,NA,Consumer,CarrierB,11.51,0.093,11,Mar,2025,2,4,0
O000020,C2902,2024-03-22,2024-03-22,2024-03-26,Overnight,WH_Central,City_154,IL,Apparel,P4708,3,49.26,147.78,59.57,4,Delivered,No,71.81,51,Medium,NA,SMB,CarrierD,10.28,0.07,12,Mar,2024,0,4,0
O000021,C1898,2024-02-03,2024-02-04,2024-02-11,Ground,WH_North,City_396,TX,Beauty,P3741,2,37.96,75.92,5.09,7,Delivered,No,31.49,30,Medium,WELCOME5,Consumer,CarrierB,35.74,0.471,5,Feb,2024,1,6,1
O000022,C2320,2025-08-08,2025-08-09,2025-08-12,Overnight,WH_Central,City_311,TX,Apparel,P4895,1,48.37,48.37,52.62,3,Delivered,No,25.42,18,Medium,NA,Consumer,CarrierA,-31.83,-0.658,32,Aug,2025,1,2,0
O000023,C1600,2024-01-16,2024-01-16,2024-01-17,Overnight,WH_East,City_190,PA,Home,P8720,3,54.05,162.15,48.1,1,Delivered,No,71.43,57,Medium,NA,Enterprise,CarrierB,35.78,0.221,3,Jan,2024,0,1,1
O000024,C2306,2025-03-12,2025-03-14,2025-03-22,Ground,WH_North,City_63,NY,Electronics,P7953,3,104.98,314.94,5.71,8,Delivered,Yes,157.47,48,Low,WELCOME5,Enterprise,CarrierB,146,0.464,11,Mar,2025,2,6,0
O000025,C1931,2025-08-09,2025-08-09,2025-08-14,Ground,WH_East,City_112,CA,Sports,P5855,6,89.18,535.08,7.01,5,Delivered,No,195.26,120,Medium,WELCOME5,Enterprise,CarrierB,318.41,0.595,32,Aug,2025,0,5,1
O000026,C1996,2025-09-16,2025-09-18,2025-09-20,Two-Day,WH_South,City_167,IL,Home,P7831,2,60.33,120.66,17.6,2,Delivered,No,52.86,38,Low,NA,Enterprise,CarrierB,45.64,0.378,38,Sep,2025,2,0,1
O000027,C1620,2025-07-21,2025-07-21,2025-07-30,Ground,WH_Central,City_275,NY,Beauty,P8993,6,44.76,268.56,5.39,9,Delivered,No,129.52,72,Medium,WELCOME5,SMB,CarrierB,125.01,0.465,30,Jul,2025,0,9,0
O000028,C2540,2025-06-01,2025-06-02,2025-06-10,Overnight,WH_South,City_134,IL,Home,P3254,4,60.24,240.96,44.4,8,Delivered,No,124.04,52,Low,NA,Consumer,CarrierA,66.28,0.275,22,Jun,2025,1,7,0
O000029,C2235,2025-03-16,2025-03-17,2025-03-22,Ground,WH_Central,City_14,MI,Toys,P4301,5,32.48,162.4,6.69,5,Delivered,No,86.24,80,Low,FREESHIP,SMB,CarrierD,59.87,0.369,11,Mar,2025,1,4,1
O000030,C2953,2025-10-22,2025-10-23,2025-10-31,Ground,WH_South,City_205,NY,Apparel,P6027,3,89.54,268.62,6.76,8,Delivered,No,119.84,45,Low,FREESHIP,Consumer,CarrierD,136.62,0.509,43,Oct,2025,1,7,0
O000031,C1859,2024-10-12,2024-10-13,2024-10-18,Ground,WH_East,City_114,GA,Electronics,P3516,2,26.07,52.14,6.26,5,Delivered,No,26.07,30,Low,FREESHIP,SMB,CarrierA,16.21,0.311,41,Oct,2024,1,4,1
O000032,C2895,2024-07-06,2024-07-07,2024-07-14,Ground,WH_South,City_273,FL,Toys,P9789,3,40.2,120.6,6.08,7,Delivered,No,53.43,42,Medium,WELCOME5,SMB,CarrierB,56.05,0.465,27,Jul,2024,1,6,1
O000033,C1258,2024-03-08,2024-03-09,2024-03-14,Ground,WH_South,City_186,FL,Apparel,P3597,3,13.77,41.31,5.64,5,Delivered,No,21.48,57,Low,WELCOME5,Consumer,CarrierB,7.35,0.178,10,Mar,2024,1,4,1
O000034,C2337,2024-07-07,2024-07-07,2024-07-09,Two-Day,WH_East,City_196,TX,Sports,P7711,2,40.47,80.94,13.42,2,Delivered,No,29.93,32,Low,SUMMER10,SMB,CarrierD,33.75,0.417,27,Jul,2024,0,2,1
O000035,C1480,2025-02-23,2025-02-23,2025-02-26,Air,WH_Central,City_22,TX,Beauty,P2136,4,60.32,241.28,29.98,3,Delivered,No,95.2,60,Medium,SUMMER10,Consumer,CarrierD,108.9,0.451,8,Feb,2025,0,3,1
O000036,C2321,2024-01-29,2024-01-30,2024-02-02,Two-Day,WH_West,City_364,TX,Sports,P1200,3,28.65,85.95,13.2,3,Delivered,No,37.47,48,Low,WELCOME5,Enterprise,CarrierD,29.52,0.343,5,Jan,2024,1,2,1
O000037,C1023,2024-06-24,2024-06-26,2024-07-01,Two-Day,WH_West,City_317,NY,Home,P7961,2,36.77,73.54,13.85,5,Delivered,No,33.2,28,Medium,NA,Consumer,CarrierA,23.13,0.315,26,Jun,2024,2,3,0
O000038,C2181,2024-12-31,2025-01-02,2025-01-08,Ground,WH_West,City_286,OH,Electronics,P7291,2,71.19,142.38,7.46,6,Delivered,No,71.19,26,Medium,NA,Enterprise,CarrierD,60.61,0.426,1,Dec,2024,2,4,1
O000039,C1298,2024-05-14,2024-05-15,2024-05-17,Overnight,WH_South,City_299,NY,Apparel,P2259,3,50.83,152.49,44.57,2,Delivered,No,76.96,30,High,FREESHIP,SMB,CarrierC,27.36,0.179,20,May,2024,1,1,1
O000040,C2934,2024-07-21,2024-07-21,2024-07-25,Two-Day,WH_East,City_142,GA,Toys,P6150,4,55.34,221.36,16.26,4,Delivered,No,118.67,68,Low,SUMMER10,SMB,CarrierC,78.27,0.354,29,Jul,2024,0,4,0
O000041,C1405,2025-11-08,2025-11-08,2025-11-15,Ground,WH_East,City_215,PA,Beauty,P5972,2,27.2,54.4,6.81,7,Delivered,No,22.76,26,Medium,WELCOME5,Consumer,CarrierD,21.71,0.399,45,Nov,2025,0,7,1
O000042,C1313,2024-04-09,2024-04-11,2024-04-16,Ground,WH_South,City_61,TX,Electronics,P6871,3,38.87,116.61,5.38,5,Delivered,No,58.3,39,Low,NA,Enterprise,CarrierB,48.25,0.414,15,Apr,2024,2,3,1
O000043,C2671,2024-05-22,2024-05-23,2024-05-28,Ground,WH_Central,City_345,NC,Toys,P9052,1,60.66,60.66,6.26,5,Delivered,No,24.45,13,Low,FREESHIP,SMB,CarrierC,28.39,0.468,21,May,2024,1,4,1
O000044,C2315,2025-08-24,2025-08-26,2025-08-31,Ground,WH_Central,City_10,IL,Electronics,P6466,2,47.05,94.1,5.38,5,Delivered,No,47.05,22,Low,SUMMER10,SMB,CarrierC,39.03,0.415,34,Aug,2025,2,3,1
O000045,C1835,2024-03-22,2024-03-22,2024-03-27,Air,WH_South,City_7,OH,Sports,P5943,3,14.28,42.84,33.61,5,Delivered,No,16.03,36,Medium,WELCOME5,Consumer,CarrierA,-11.12,-0.26,12,Mar,2024,0,5,0
O000046,C1981,2024-08-09,2024-08-11,2024-08-17,Ground,WH_West,City_172,TX,Sports,P9763,2,31.48,62.96,5.52,6,Lost,No,22.98,28,Critical,FREESHIP,Enterprise,CarrierB,31.1,0.494,32,Aug,2024,2,4,1
O000047,C1145,2025-07-23,2025-07-24,2025-07-29,Ground,WH_South,City_180,PA,Toys,P2125,4,42,168,5.85,5,Delivered,No,92.33,60,High,SUMMER10,SMB,CarrierD,62.62,0.373,30,Jul,2025,1,4,1
O000048,C2644,2025-07-23,2025-07-24,2025-07-26,Two-Day,WH_West,City_293,CA,Toys,P7634,3,23.04,69.12,15.19,2,Delivered,No,36.75,45,Medium,SUMMER10,SMB,CarrierD,11.78,0.17,30,Jul,2025,1,1,1
O000049,C2371,2024-06-10,2024-06-10,2024-06-14,Air,WH_West,City_66,OH,Sports,P4307,3,8.06,24.18,31.76,4,Delivered,No,12.09,54,Low,SUMMER10,SMB,CarrierD,-26.15,-1.081,24,Jun,2024,0,4,0
O000050,C1196,2025-03-05,2025-03-07,2025-03-09,Two-Day,WH_East,City_56,GA,Home,P8579,4,46.91,187.64,15.22,2,Delivered,No,81.36,72,Medium,FREESHIP,Enterprise,CarrierB,82.42,0.439,10,Mar,2025,2,0,1
O000051,C2539,2025-07-08,2025-07-08,2025-07-10,Two-Day,WH_West,City_270,IL,Toys,P2328,4,53.11,212.44,16.94,2,Delivered,No,88.23,60,Medium,FREESHIP,Enterprise,CarrierA,100.07,0.471,28,Jul,2025,0,2,1
O000052,C1225,2024-07-02,2024-07-02,2024-07-04,Overnight,WH_Central,City_177,NC,Toys,P6281,2,65.99,131.98,54.26,2,Lost,Yes,51.14,30,Medium,NA,SMB,CarrierD,22.98,0.174,27,Jul,2024,0,2,1
O000053,C1503,2025-01-10,2025-01-10,2025-01-15,Two-Day,WH_South,City_331,PA,Beauty,P6557,1,51.67,51.67,16.84,5,Delivered,No,23.56,14,Low,NA,Enterprise,CarrierA,9.59,0.186,2,Jan,2025,0,5,0
O000054,C2969,2025-06-22,2025-06-22,2025-06-29,Ground,WH_West,City_111,MI,Toys,P8092,3,41.65,124.95,6.86,7,Delivered,No,50.67,42,Medium,WELCOME5,Consumer,CarrierC,62.38,0.499,25,Jun,2025,0,7,1
O000055,C2378,2024-02-10,2024-02-12,2024-02-17,Ground,WH_Central,City_187,FL,Sports,P4365,5,59.31,296.55,5.93,5,Delivered,No,133.53,70,Medium,FREESHIP,Enterprise,CarrierA,148.69,0.501,6,Feb,2024,2,3,1
O000056,C1983,2025-05-28,2025-05-28,2025-05-31,Air,WH_Central,City_322,NC,Electronics,P1116,3,57.87,173.61,27.28,3,Delivered,No,86.81,36,Medium,FREESHIP,Consumer,CarrierA,55.2,0.318,22,May,2025,0,3,1
O000057,C1726,2025-11-08,2025-11-09,2025-11-14,Ground,WH_North,City_387,TX,Apparel,P4720,2,88.03,176.06,7.15,5,Delivered,No,94.25,28,Low,WELCOME5,Consumer,CarrierB,71.3,0.405,45,Nov,2025,1,4,1
O000058,C1944,2025-05-30,2025-06-01,2025-06-03,Overnight,WH_East,City_12,IL,Home,P3066,2,51.18,102.36,59.64,2,Delivered,No,39.4,28,Low,SUMMER10,SMB,CarrierA,-0.04,0,22,May,2025,2,0,1
O000059,C2268,2025-11-14,2025-11-16,2025-11-23,Ground,WH_East,City_315,MI,Home,P2852,2,34.19,68.38,5.24,7,Delivered,No,37.6,34,Low,WELCOME5,Enterprise,CarrierC,21.46,0.314,46,Nov,2025,2,5,1
O000060,C1921,2024-01-06,2024-01-08,2024-01-12,Overnight,WH_North,City_367,NC,Apparel,P7732,1,57.4,57.4,49.02,4,Delivered,No,26.72,16,Medium,NA,Enterprise,CarrierA,-20.26,-0.353,1,Jan,2024,2,2,0
O000061,C1625,2024-03-05,2024-03-07,2024-03-16,Two-Day,WH_West,City_69,TX,Electronics,P8474,1,33.18,33.18,17.17,9,Delivered,No,16.59,18,Low,NA,Enterprise,CarrierA,-2.74,-0.083,10,Mar,2024,2,7,0
O000062,C1261,2025-05-14,2025-05-16,2025-05-21,Ground,WH_East,City_272,TX,Electronics,P6343,2,27.31,54.62,6.91,5,Delivered,No,27.31,28,Low,WELCOME5,Enterprise,CarrierA,17.04,0.312,20,May,2025,2,3,1
O000063,C1389,2025-03-13,2025-03-13,2025-03-20,Ground,WH_West,City_374,PA,Apparel,P2737,2,62.33,124.66,7.41,7,Delivered,No,50.34,32,Low,SUMMER10,SMB,CarrierD,63.07,0.506,11,Mar,2025,0,7,1
O000064,C1129,2024-07-27,2024-07-28,2024-08-06,Ground,WH_North,City_153,NC,Electronics,P7347,3,73.18,219.54,5.53,9,Delivered,No,109.77,42,Low,SUMMER10,SMB,CarrierD,99.2,0.452,30,Jul,2024,1,8,0
O000065,C2395,2025-09-18,2025-09-20,2025-10-04,Two-Day,WH_South,City_380,GA,Electronics,P1220,4,94.36,377.44,13.81,14,Delivered,No,188.72,68,Medium,SUMMER10,Consumer,CarrierD,166.75,0.442,38,Sep,2025,2,12,0
O000066,C2026,2024-10-27,2024-10-27,2024-11-01,Overnight,WH_Central,City_258,IL,Sports,P7497,2,31.7,63.4,43.7,5,Delivered,No,29.37,32,Low,NA,Enterprise,CarrierB,-13.51,-0.213,43,Oct,2024,0,5,0
O000067,C1373,2025-08-19,2025-08-19,2025-08-20,Overnight,WH_West,City_358,OH,Toys,P1758,2,32.44,64.88,49.71,1,Delivered,No,23.38,24,Low,SUMMER10,Consumer,CarrierA,-11.09,-0.171,34,Aug,2025,0,1,1
O000068,C2428,2024-09-04,2024-09-06,2024-09-11,Ground,WH_South,City_290,FL,Sports,P1344,3,18.43,55.29,7.19,5,Delivered,No,24.62,51,Low,FREESHIP,Consumer,CarrierC,17.36,0.314,36,Sep,2024,2,3,1
O000069,C1769,2025-10-06,2025-10-08,2025-10-12,Two-Day,WH_Central,City_114,NC,Electronics,P2111,2,52.82,105.64,14.34,4,Delivered,Yes,52.82,32,Medium,FREESHIP,SMB,CarrierC,34.64,0.328,41,Oct,2025,2,2,0
O000070,C2014,2025-11-21,2025-11-23,2025-12-03,Ground,WH_Central,City_175,MI,Apparel,P9656,2,23.61,47.22,6.4,10,Delivered,No,20,24,Medium,WELCOME5,SMB,CarrierC,17.94,0.38,47,Nov,2025,2,8,0
O000071,C2893,2024-07-18,2024-07-18,2024-07-26,Ground,WH_Central,City_112,PA,Home,P5189,7,53.89,377.23,5.37,8,Delivered,No,201.68,84,Low,NA,Enterprise,CarrierD,160.1,0.424,29,Jul,2024,0,8,0
O000072,C1697,2025-04-29,2025-04-29,2025-05-04,Ground,WH_East,City_189,PA,Apparel,P9495,5,55.78,278.9,5.61,5,Delivered,No,118.93,70,Medium,NA,Consumer,CarrierB,145.96,0.523,18,Apr,2025,0,5,1
O000073,C1649,2025-02-25,2025-02-25,2025-03-02,Ground,WH_Central,City_73,OH,Apparel,P4117,2,30.77,61.54,6.22,5,Delivered,No,30.7,24,Low,NA,Enterprise,CarrierA,21.74,0.353,9,Feb,2025,0,5,1
O000074,C1039,2024-08-15,2024-08-17,2024-08-22,Air,WH_Central,City_90,IL,Beauty,P4529,1,39.51,39.51,34.91,5,Delivered,No,19.45,16,Critical,WELCOME5,SMB,CarrierA,-16.77,-0.424,33,Aug,2024,2,3,0
O000075,C1516,2024-08-06,2024-08-07,2024-08-12,Air,WH_Central,City_310,NC,Apparel,P8199,6,78.44,470.64,36.18,5,Delivered,No,167.05,84,Critical,NA,SMB,CarrierA,257.33,0.547,32,Aug,2024,1,4,0
O000076,C1032,2025-04-10,2025-04-11,2025-04-16,Ground,WH_North,City_270,GA,Electronics,P5325,3,63.08,189.24,5.35,5,Delivered,No,94.62,51,Medium,SUMMER10,Consumer,CarrierB,83.15,0.439,15,Apr,2025,1,4,1
O000077,C1944,2024-10-01,2024-10-03,2024-10-05,Overnight,WH_West,City_160,FL,Beauty,P1667,2,48.38,96.76,42.48,2,Lost,No,38.97,38,Medium,NA,SMB,CarrierA,10.75,0.111,40,Oct,2024,2,0,1
O000078,C1102,2025-11-17,2025-11-17,2025-11-24,Ground,WH_West,City_40,NC,Sports,P1671,4,65.52,262.08,7.33,7,Delivered,No,138.43,68,Critical,SUMMER10,Enterprise,CarrierB,108.16,0.413,47,Nov,2025,0,7,1
O000079,C2251,2025-07-08,2025-07-09,2025-07-14,Ground,WH_North,City_272,GA,Apparel,P8978,3,65.9,197.7,7.26,5,Delivered,No,79.95,45,Low,WELCOME5,Enterprise,CarrierA,105.09,0.532,28,Jul,2025,1,4,1
O000080,C1108,2025-01-30,2025-01-31,2025-02-03,Overnight,WH_South,City_304,TX,Toys,P7639,4,24.33,97.32,47.8,3,Delivered,No,43.68,76,Medium,SUMMER10,SMB,CarrierA,-3.28,-0.034,5,Jan,2025,1,2,0
O000081,C2001,2025-03-25,2025-03-27,2025-04-01,Two-Day,WH_South,City_340,NC,Home,P4169,3,58.43,175.29,14.72,5,Delivered,No,87.17,48,Low,FREESHIP,SMB,CarrierC,67.64,0.386,13,Mar,2025,2,3,0
O000082,C2352,2025-08-13,2025-08-15,2025-08-21,Ground,WH_West,City_61,TX,Electronics,P3174,1,43.29,43.29,5.76,6,Delivered,No,21.64,11,High,NA,Enterprise,CarrierA,14.57,0.337,33,Aug,2025,2,4,1
O000083,C2692,2025-07-26,2025-07-27,2025-08-01,Ground,WH_North,City_107,TX,Toys,P2342,1,36.52,36.52,5.03,5,Delivered,No,15.77,19,High,SUMMER10,Consumer,CarrierC,13.44,0.368,30,Jul,2025,1,4,1
O000084,C1075,2024-07-15,2024-07-17,2024-07-19,Overnight,WH_South,City_269,MI,Sports,P2623,5,39.47,197.35,56.11,2,Delivered,No,74.24,60,Medium,WELCOME5,SMB,CarrierC,59.8,0.303,29,Jul,2024,2,0,1
O000085,C1979,2024-01-13,2024-01-14,2024-01-21,Ground,WH_South,City_53,PA,Home,P8473,2,39.59,79.18,7.13,7,Delivered,Yes,42.31,30,High,WELCOME5,SMB,CarrierC,26.14,0.33,2,Jan,2024,1,6,1
O000086,C2800,2025-01-12,2025-01-14,2025-01-15,Overnight,WH_East,City_316,CA,Home,P5590,1,47.2,47.2,41.43,1,Delivered,No,21.86,16,Low,NA,SMB,CarrierB,-18.01,-0.382,2,Jan,2025,2,-1,1
O000087,C2514,2024-10-11,2024-10-13,2024-10-21,Ground,WH_South,City_42,FL,Beauty,P9875,5,36.73,183.65,5.08,8,Delivered,No,75.55,65,Low,FREESHIP,Consumer,CarrierC,95.22,0.518,41,Oct,2024,2,6,0
O000088,C2570,2024-05-22,2024-05-22,2024-05-24,Air,WH_East,City_328,NC,Electronics,P4314,3,74.2,222.6,34.08,2,Delivered,No,111.3,48,Low,SUMMER10,Consumer,CarrierC,71.46,0.321,21,May,2024,0,2,1
O000089,C1732,2025-02-03,2025-02-04,2025-02-13,Air,WH_East,City_269,TX,Home,P5373,3,54.86,164.58,37.31,9,Delivered,No,79.8,57,Medium,SUMMER10,Enterprise,CarrierC,40.63,0.247,6,Feb,2025,1,8,0
O000090,C1015,2024-08-25,2024-08-26,2024-08-27,Overnight,WH_West,City_57,NC,Electronics,P2563,3,53.96,161.88,59.52,1,Delivered,No,80.94,51,Low,NA,SMB,CarrierA,15.3,0.095,34,Aug,2024,1,0,1
O000091,C2380,2025-06-17,2025-06-18,2025-06-21,Two-Day,WH_North,City_94,IL,Beauty,P3898,5,55.81,279.05,17.81,3,Delivered,No,145.2,60,High,NA,Consumer,CarrierC,108.84,0.39,25,Jun,2025,1,2,1
O000092,C2755,2024-03-27,2024-03-29,2024-04-03,Ground,WH_West,City_207,PA,Beauty,P4438,5,-10.83,-54.15,5.88,5,Delivered,No,-29.41,90,Low,SUMMER10,Enterprise,CarrierB,-41.42,0,13,Mar,2024,2,3,1
O000093,C2271,2025-04-07,2025-04-08,2025-04-14,Ground,WH_South,City_137,FL,Home,P9769,3,56,168,5.79,6,Delivered,No,86.42,45,Medium,SUMMER10,SMB,CarrierB,70.39,0.419,15,Apr,2025,1,5,1
O000094,C2005,2024-10-05,2024-10-07,2024-10-14,Ground,WH_Central,City_385,TX,Electronics,P1814,3,73.64,220.92,7.41,7,Delivered,No,110.46,48,Low,FREESHIP,Enterprise,CarrierA,97.29,0.44,40,Oct,2024,2,5,1
O000095,C2348,2024-10-20,2024-10-22,2024-10-24,Two-Day,WH_South,City_174,IL,Home,P7672,6,49.44,296.64,12.57,2,Delivered,No,140.58,102,Low,FREESHIP,SMB,CarrierC,131.25,0.442,42,Oct,2024,2,0,1
O000096,C1987,2025-06-29,2025-07-01,2025-07-06,Ground,WH_Central,City_198,CA,Beauty,P3642,3,18.08,54.24,5.4,5,Delivered,No,25.29,51,Low,FREESHIP,Enterprise,CarrierB,17.43,0.321,26,Jun,2025,2,3,1
O000097,C2653,2024-02-13,2024-02-15,2024-02-17,Air,WH_West,City_96,PA,Apparel,P6241,2,39.32,78.64,31.95,2,Delivered,No,38.08,40,Medium,FREESHIP,SMB,CarrierA,3.81,0.048,7,Feb,2024,2,0,1
O000098,C2665,2025-08-25,2025-08-25,2025-08-30,Ground,WH_Central,City_251,OH,Sports,P5168,4,54.89,219.56,6.6,5,Delivered,No,103.8,48,Low,FREESHIP,Consumer,CarrierB,103.4,0.471,35,Aug,2025,0,5,1
O000099,C1081,2024-07-15,2024-07-16,2024-07-21,Ground,WH_South,City_333,GA,Beauty,P1530,5,22.84,114.2,6.98,5,Delivered,Yes,42.88,80,High,FREESHIP,Enterprise,CarrierB,54.74,0.479,29,Jul,2024,1,4,1
O000100,C2943,2024-08-12,2024-08-12,2024-08-20,Ground,WH_West,City_176,FL,Apparel,P4291,3,40.51,121.53,7.22,8,Delivered,No,60.74,45,Low,WELCOME5,Enterprise,CarrierD,48.17,0.396,33,Aug,2024,0,8,0
O000101,C2904,2024-11-02,2024-11-03,2024-11-05,Air,WH_East,City_321,NY,Beauty,P9156,3,73.65,220.95,29.76,2,Lost,No,84.13,39,High,NA,Consumer,CarrierC,102.38,0.463,44,Nov,2024,1,1,1
O000102,C1913,2024-08-18,2024-08-18,2024-08-25,Ground,WH_North,City_185,GA,Toys,P4709,2,25.92,51.84,6.57,7,Delivered,No,22.97,28,Medium,SUMMER10,Consumer,CarrierA,18.94,0.365,33,Aug,2024,0,7,1
O000103,C1324,2024-05-13,2024-05-15,2024-05-20,Ground,WH_North,City_311,NY,Toys,P9603,2,28.75,57.5,6.79,5,Delivered,No,29.09,26,Low,SUMMER10,Consumer,CarrierD,18.5,0.322,20,May,2024,2,3,1
O000104,C2645,2024-01-28,2024-01-29,2024-02-04,Ground,WH_North,City_201,NY,Home,P4497,2,36.55,73.1,6.67,6,Delivered,No,37.61,30,Medium,NA,SMB,CarrierB,25.22,0.345,4,Jan,2024,1,5,1
O000105,C2383,2025-10-04,2025-10-05,2025-10-11,Ground,WH_South,City_169,IL,Electronics,P5199,4,21.76,87.04,6.64,6,Delivered,No,43.52,52,Medium,NA,Consumer,CarrierB,30.64,0.352,40,Oct,2025,1,5,1
O000106,C1950,2024-03-10,2024-03-11,2024-03-18,Ground,WH_Central,City_118,NY,Sports,P4454,1,61.38,61.38,6.42,7,Delivered,No,23.55,15,Medium,NA,SMB,CarrierC,29.61,0.482,10,Mar,2024,1,6,1
O000107,C1295,2025-08-22,2025-08-24,2025-08-29,Ground,WH_East,City_81,PA,Toys,P6733,4,43,172,6.62,5,Delivered,No,76.41,68,Medium,WELCOME5,Consumer,CarrierC,80.81,0.47,34,Aug,2025,2,3,1
O000108,C1148,2024-04-25,2024-04-26,2024-05-03,Ground,WH_Central,City_121,NY,Toys,P1142,4,62.23,248.92,6.72,7,Delivered,No,126.56,56,Low,FREESHIP,Enterprise,CarrierD,108.92,0.438,17,Apr,2024,1,6,1
